"","id","accession","synonyms","category","disease","origin","geo","encode","omics"
"856","COG-N-471nb","CVCL_LF60","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371227",NA,"Transcriptome analysis by RNAseq"
"857","COG-N-496","CVCL_LF61","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371228",NA,"Transcriptome analysis by RNAseq"
"858","COG-N-519","CVCL_LF62","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371229",NA,"Transcriptome analysis by RNAseq"
"859","COG-N-534","CVCL_LF63","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371230",NA,"Transcriptome analysis by RNAseq"
"860","COG-N-549","CVCL_LF64","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371231",NA,"Transcriptome analysis by RNAseq"
"861","COG-N-557nb","CVCL_LF65","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371232",NA,"Transcriptome analysis by RNAseq"
"862","COG-N-561","CVCL_LF66","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371233",NA,"Transcriptome analysis by RNAseq"
"863","COG-N-573","CVCL_LF67","","Cancer cell line","NCIt; C3270; Neuroblastoma|ORDO; Orphanet_635; Neuroblastoma","","GSM2371234",NA,"Transcriptome analysis by RNAseq"
"864","COGA-12","CVCL_A073","COGA12","Cancer cell line","NCIt; C5543; Cecum adenocarcinoma","","GSM1448103",NA,"Transcriptome analysis by microarray"
"865","COGA-1A","CVCL_Z583","COGA1A; Coga1A","Cancer cell line","NCIt; C4910; Colon carcinoma|NCIt; C8494; Lynch syndrome|ORDO; Orphanet_144; Lynch syndrome","","GSM1448099",NA,"Transcriptome analysis by microarray"
"866","COGA-2","CVCL_A074","COGA2","Cancer cell line","NCIt; C9383; Rectal adenocarcinoma","","GSM1448100",NA,"Transcriptome analysis by microarray"
"867","COGA-3","CVCL_A075","COGA3","Cancer cell line","NCIt; C2955; Colorectal carcinoma","","GSM1448101",NA,"Transcriptome analysis by microarray"
"868","COGA-5","CVCL_A076","COGA5","Cancer cell line","NCIt; C2955; Colorectal carcinoma","CVCL_A077 ! COGA-5L","GSM1448150",NA,"Transcriptome analysis by microarray"
"869","COGA-5L","CVCL_A077","COGA5L","Cancer cell line","NCIt; C2955; Colorectal carcinoma","CVCL_A076 ! COGA-5","GSM1448151",NA,"Transcriptome analysis by microarray"
"870","COGA-8","CVCL_A078","COGA8","Cancer cell line","NCIt; C2955; Colorectal carcinoma","","GSM1448102",NA,"Transcriptome analysis by microarray"
"871","COLO 201","CVCL_1987","Colo 201; Colo-201; COLO-201; COLO201; Colo201; Colorado 201","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","CVCL_9976 ! COLO 197|CVCL_9977 ! COLO 200|CVCL_0218 ! COLO 205|CVCL_1988 ! COLO 206F","GSM206458|GSM274721|GSM274722|GSM274730|GSM827324|GSM1346833|GSM1374450|GSM1448068",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"872","COLO 205","CVCL_0218","Colo 205; CoLo 205; COLO-205; Colo-205; COLO.205; Colo205; COLO205; Co 205; Colorado 205","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","CVCL_9976 ! COLO 197|CVCL_9977 ! COLO 200|CVCL_1987 ! COLO 201|CVCL_1988 ! COLO 206F","GSM2089|GSM50186|GSM50250|GSM206459|GSM274717|GSM274718|GSM274728|GSM741249|GSM743441|GSM750794|GSM799329|GSM799392|GSM827422|GSM846289|GSM843490|GSM886940|GSM888007|GSM1153400|GSM1178029|GSM1178030|GSM1178031|GSM1181248|GSM1181264|GSM1346867|GSM1374451|GSM1374452|GSM1448172|GSM1669683|GSM2124638|GSM2549994",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|Deep quantitative phosphoproteome analysis|Fluorescence phenotype profiling|lncRNA expression profiling|Metabolome analysis|Deep phosphoproteome analysis|N-glycan profiling"
"873","COLO 206F","CVCL_1988","Colo-206F; COLO-206F; Colo 206F; COLO206F; COLO 206; COLO206; Colorado 206F","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","CVCL_9976 ! COLO 197|CVCL_9977 ! COLO 200|CVCL_1987 ! COLO 201|CVCL_0218 ! COLO 205","GSM206460|GSM274776|GSM513935|GSM514188|GSM784009|GSM1374453",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"874","COLO 239F","CVCL_9975","COLO 239; COLO #239; Colo 239F; COLO239F; Colo239F; COLOF; COLO-F; Colorado 239F","Cancer cell line","NCIt; C3224; Melanoma","","GSM162934",NA,"Transcriptome analysis by microarray"
"875","COLO 316","CVCL_5451","COLO-316; Colo 316; COLO #316; COLO316; Colo316; Colorado 316","Cancer cell line","NCIt; C7978; Ovarian serous cystadenocarcinoma","","GSM784568",NA,NA
"876","COLO 320","CVCL_1989","COLO-320; Colo-320; Colo 320; COLO #320; COLO320; Colo320; CoLo320; Co320; COLO 320F; Colorado 320","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","CVCL_K030 ! COLO 321","GSM794|GSM741256|GSM747237|GSM886941|GSM888008|GSM1448152|GSM1669684|GSM2549995",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling|N-glycan profiling"
"877","COLO 320DM","CVCL_0219","COLO-320DM; COLO_320DM; COLO-320-DM; COLO #320DM; COLO320/DM; COLO320-DM; COLO320DM; Colo320DM; COLO320 DM; COLO 320 DM; COLO 320 (DM); Colorado 320 Double Minutes","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM206461|GSM274777|GSM513909|GSM514187|GSM739989|GSM739990|GSM739991|GSM740012|GSM784007|GSM827245|GSM1346834|GSM1374454|GSM1374455|GSM1448173",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays"
"878","COLO 320HSR","CVCL_0220","COLO-320HSR; COLO #320HSR COLO320HSR; COLO 320 HSR; COLO-320-HSR; COLO 320 (HSR); COLO-HSR; Colorado 320 Homogeneously Staining Regions","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM206462|GSM274778|GSM784008|GSM843491|GSM1448182|GSM1669685",NA,"Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis|Deep quantitative phosphoproteome analysis"
"879","COLO 357","CVCL_0221","COLO-357; Colo-357; Colo 357; COLO #357; COLO357; Colo357; Colorado 357","Cancer cell line","NCIt; C5721; Pancreatic adenosquamous carcinoma|ORDO; Orphanet_424039; Squamous cell carcinoma of pancreas","","GSM621898",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
"880","COLO 587","CVCL_F641","COLO-587; COLO #587; COLO587; Colorado 587","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM784695",NA,NA
"881","COLO 60H","CVCL_4572","COLO-60H; Colo-60H; COLO60H","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM1448094",NA,"Transcriptome analysis by microarray"
"882","COLO 668","CVCL_1128","Colo 668; COLO-668; COLO668; Colo668; Colorado 668","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM17195|GSM886942|GSM888009|GSM1669686",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis|HLA class I peptidome analysis by proteomics"
"883","COLO 677","CVCL_1862","COLO-677; COLO #677; COLO677; Colorado 677","Cancer cell line","NCIt; C3242; Plasma cell myeloma|ORDO; Orphanet_29073; Multiple myeloma","","GSM784242",NA,"Transcriptome analysis by RNAseq"
"884","COLO 678","CVCL_1129","Colo-678; COLO-678; COLO #678; COLO678; Colorado 678","Cancer cell line","NCIt; C4910; Colon carcinoma","","GSM206463|GSM274779|GSM513929|GSM514189|GSM784010|GSM886943|GSM888010|GSM1346868|GSM1374456|GSM1448174|GSM1669687|GSM2549996",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|Deep quantitative phosphoproteome analysis"
"885","COLO 679","CVCL_1130","COLO-679; COLO #679; COLO679; Colorado 679","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM886944|GSM888011|GSM1669688",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"886","COLO 680N","CVCL_1131","COLO-680N; COLO #680N; COLO680N; Colorado 680N","Cancer cell line","NCIt; C4024; Esophageal squamous cell carcinoma|ORDO; Orphanet_99977; Squamous cell carcinoma of the esophagus","","GSM827548|GSM886945|GSM888012|GSM1669689",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"887","COLO 684","CVCL_1132","COLO-684; COLO #684; COLO684; Colo684; Colorado 684","Cancer cell line","NCIt; C7359; Endometrial adenocarcinoma","CVCL_1991 ! COLO 685","GSM827423|GSM888013|GSM1669690",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"888","COLO 685","CVCL_1991","COLO-685; COLO #685; COLO685; Colorado 685","Cancer cell line","NCIt; C7359; Endometrial adenocarcinoma","CVCL_1132 ! COLO 684","GSM827424",NA,"SNP array analysis"
"889","COLO 699","CVCL_1992","COLO-699; Colo-699; COLO #699; Colo699; COLO699; Colorado 699; CHL1DM","Cancer cell line","NCIt; C3224; Melanoma","","GSM434300|GSM886946|GSM888014|IGRhCellID=COLO699GEO",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis"
"890","COLO 704","CVCL_1994","COLO-704; COLO #704; COLO704; Colorado 704","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM274700|GSM659372|GSM886947|GSM888015|GSM1001490",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|shRNA library screening"
"891","COLO 720E","CVCL_1995","COLO 720 E; COLO-720E; COLO720E; Colo720E; Colorado 720E","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","CVCL_1863 ! COLO 720L","GSM711727",NA,"Transcriptome analysis by microarray|SNP array analysis"
"892","COLO 720E contaminated","CVCL_AV69","","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM1291132",NA,"Transcriptome analysis by microarray"
"893","COLO 741","CVCL_1133","COLO-741; Colo741; COLO741; Colorado 741","Cancer cell line","NCIt; C3224; Melanoma","","GSM206464|GSM741250|GSM827458|GSM886948|GSM888016|GSM1374457|GSM1448133|GSM1669691",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening"
"894","COLO 783","CVCL_1997","COLO-783; COLO #783; Colo783; COLO783; Colorado 783","Cancer cell line","NCIt; C3224; Melanoma","","GSM886949|GSM888017",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep quantitative proteome analysis|shRNA library screening"
"895","COLO 792","CVCL_1134","COLO-792; COLO #792; COLO792; Colorado 792","Cancer cell line","NCIt; C3224; Melanoma","","GSM827459|GSM886950|GSM888018|GSM1669692",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"896","COLO 800","CVCL_1135","COLO-800; COLO #800; COLO800; Colorado 800","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_2408 ! COLO 794","GSM886951|GSM888019|GSM1669693",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"897","COLO 818","CVCL_1998","COLO-818; COLO #818; COLO818; Colorado 818","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM886952|GSM888020",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"898","COLO 824","CVCL_1136","COLO-824; Colo-824; Colo 824; COLO #824; COLO824; Colo824; Colorado 824","Cancer cell line","NCIt; C4872; Breast carcinoma","","GSM718287|GSM783979|GSM847249|GSM847459|GSM843492|GSM843493|GSM1669694",NA,"Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"899","COLO 829","CVCL_1137","COLO-829; Colo-829; Colo 829; COLO #829; COLO829; Colo829; Colorado 829","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_1999 ! COLO 829BL|CVCL_L503 ! COLO 831|CVCL_2000 ! COLO 832|CVCL_L504 ! COLO 833|CVCL_L505 ! COLO 834|CVCL_L506 ! COLO 835|CVCL_L507 ! COLO 838|CVCL_2001 ! COLO 839|CVCL_L508 ! COLO 845|CVCL_L509 ! COLO 848|CVCL_2002 ! COLO 849|CVCL_2003 ! COLO 853|CVCL_2004 ! COLO 857|CVCL_2005 ! COLO 858","GSE151409|GSM206465|GSM274683|GSM886953|GSM888021|GSM1008571|GSM1178047|GSM1178048|GSM1669695","ENCBS172AAA","Genome sequenced|Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|Single cell genome analysis"
"900","COLO 849","CVCL_2002","COLO-849; Colo 849; COLO #849; COLO849; Colorado 849","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_1137 ! COLO 829|CVCL_1999 ! COLO 829BL|CVCL_L503 ! COLO 831|CVCL_2000 ! COLO 832|CVCL_L504 ! COLO 833|CVCL_L505 ! COLO 834|CVCL_L506 ! COLO 835|CVCL_L507 ! COLO 838|CVCL_2001 ! COLO 839|CVCL_L508 ! COLO 845|CVCL_L509 ! COLO 848|CVCL_2003 ! COLO 853|CVCL_2004 ! COLO 857|CVCL_2005 ! COLO 858","GSM886954|GSM888022",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis"
"901","COLO 853","CVCL_2003","COLO-853; Colo 853; COLO853; Colorado 853","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_1137 ! COLO 829|CVCL_1999 ! COLO 829BL|CVCL_L503 ! COLO 831|CVCL_2000 ! COLO 832|CVCL_L504 ! COLO 833|CVCL_L505 ! COLO 834|CVCL_L506 ! COLO 835|CVCL_L507 ! COLO 838|CVCL_2001 ! COLO 839|CVCL_L508 ! COLO 845|CVCL_L509 ! COLO 848|CVCL_2002 ! COLO 849|CVCL_2004 ! COLO 857|CVCL_2005 ! COLO 858","GSM827310",NA,"Transcriptome analysis by RNAseq|SNP array analysis"
"902","COLO 857","CVCL_2004","COLO-857; Colo 857; COLO857; Colorado 857","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_1137 ! COLO 829|CVCL_1999 ! COLO 829BL|CVCL_L503 ! COLO 831|CVCL_2000 ! COLO 832|CVCL_L504 ! COLO 833|CVCL_L505 ! COLO 834|CVCL_L506 ! COLO 835|CVCL_L507 ! COLO 838|CVCL_2001 ! COLO 839|CVCL_L508 ! COLO 845|CVCL_L509 ! COLO 848|CVCL_2002 ! COLO 849|CVCL_2003 ! COLO 853|CVCL_2005 ! COLO 858","GSM827425",NA,"Transcriptome analysis by RNAseq|SNP array analysis"
"903","COLO 858","CVCL_2005","COLO-858; Colo 858; COLO858; Colorado 858","Cancer cell line","NCIt; C3510; Cutaneous melanoma","CVCL_1137 ! COLO 829|CVCL_1999 ! COLO 829BL|CVCL_L503 ! COLO 831|CVCL_2000 ! COLO 832|CVCL_L504 ! COLO 833|CVCL_L505 ! COLO 834|CVCL_L506 ! COLO 835|CVCL_L507 ! COLO 838|CVCL_2001 ! COLO 839|CVCL_L508 ! COLO 845|CVCL_L509 ! COLO 848|CVCL_2002 ! COLO 849|CVCL_2003 ! COLO 853|CVCL_2004 ! COLO 857","GSM827426",NA,"SNP array analysis"
"904","COLO 94H","CVCL_4573","COLO-94H; Colo-94H; COLO94H","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM1448153",NA,"Transcriptome analysis by microarray"
"905","COR-L105","CVCL_1138","CORL105; COR-L 105","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM827563|GSM886955|GSM888023|GSM1669696",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"906","COR-L23","CVCL_1139","CORL23; COR-L23P; COR-L23/P; L23/P","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM784278|GSM827427|GSM886956|GSM888024|GSM1669697",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Deep quantitative proteome analysis|shRNA library screening"
"907","COR-L23/CPR","CVCL_2007","COR-L 23/CPR; L23/CPR","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM827460",NA,"SNP array analysis"
"908","COR-L24","CVCL_2409","COR L24; Cor L24; CORL24","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","CVCL_D744 ! COR-L103","GSM886957|GSM888025",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"909","COR-L279","CVCL_1140","COR L279; CORL279; LuCL4","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM827428|GSM888026|GSM1669698",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"910","COR-L303","CVCL_2411","CORL303; COR L303","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM1669699",NA,"Transcriptome analysis by microarray|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"911","COR-L311","CVCL_2412","CORL311","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM886958|GSM888027|GSM1669700",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"912","COR-L32","CVCL_2413","Cor L32; CORL32","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM1669701",NA,"Transcriptome analysis by microarray|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"913","COR-L321","CVCL_2414","CORL321","Cancer cell line","NCIt; C4878; Lung carcinoma","","GSM1669702",NA,"Transcriptome analysis by microarray|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"914","COR-L47","CVCL_2415","Cor L47; CORL47","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM886959|GSM888028",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep quantitative proteome analysis"
"915","COR-L51","CVCL_2416","Cor L51; CORL51","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM17196",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"916","COR-L88","CVCL_1141","Cor L88; CORL88; CorL88","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM17306|GSM827452|GSM886960|GSM888029|GSM1669703",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"917","COR-L95","CVCL_2418","CORL95","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM827338|GSM886961|GSM888030|GSM1669704",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"918","COV318","CVCL_2419","Cov318; COV-318","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM313686|GSM886962|GSM888031|GSM1291133|GSM2474973",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays"
"919","COV362","CVCL_2420","Cov362; COV-362","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM886963|GSM888032|GSM1291135",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep quantitative proteome analysis|shRNA library screening"
"920","COV362.4","CVCL_2421","COV362-4; COV-362.4","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM313709|GSM1291134",NA,"Transcriptome analysis by microarray"
"921","COV413A","CVCL_2422","COV 413A","Cancer cell line","NCIt; C4908; Ovarian carcinoma","CVCL_2423 ! COV413B","GSM1291136",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"922","COV413B","CVCL_2423","","Cancer cell line","NCIt; C4908; Ovarian carcinoma","CVCL_2422 ! COV413A","GSM1291137",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis"
"923","COV434","CVCL_2010","COV-434; COV 434","Cancer cell line","NCIt; C40439; Ovarian small cell carcinoma, hypercalcemic type|ORDO; Orphanet_370396; Small cell carcinoma of the ovary","","GSM313704|GSM886964|GSM888033",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|shRNA library screening"
"924","COV504","CVCL_2424","Cov504; COV 504","Cancer cell line","NCIt; C4908; Ovarian carcinoma","","GSM886965|GSM888034|GSM1291138|GSM2474974",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|shRNA library screening"
"925","COV644","CVCL_2425","COV-644","Cancer cell line","NCIt; C5243; Ovarian mucinous adenocarcinoma|ORDO; Orphanet_398961; Mucinous adenocarcinoma of ovary","","GSM313681|GSM886966|GSM888035|GSM1291139",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|shRNA library screening"
"926","CP50-MEL-B","CVCL_1143","CP50MELB; CP50-MEL","Cancer cell line","NCIt; C3224; Melanoma","CVCL_UY79 ! CP50-EBV","GSM1669705",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"927","CP66-MEL","CVCL_1144","CP66MEL; CP66","Cancer cell line","NCIt; C3224; Melanoma","CVCL_VU67 ! CP66-EBV","GSM1669706",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"928","CP67-MEL","CVCL_1145","CP67MEL","Cancer cell line","NCIt; C3224; Melanoma","","GSM1669707",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis"
"929","CPC-N","CVCL_1146","CPC.N; CPCN; CPN","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","","GSM784202|GSM886967|GSM888036|GSM1669708",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"930","CR-Mel","CVCL_7038","CRMel","Cancer cell line","NCIt; C3224; Melanoma","","GSM276730",NA,"Transcriptome analysis by microarray"
"931","CRO-AP2","CVCL_1147","CRO-AP/2; CROAP2; AP2","Cancer cell line","NCIt; C6915; Primary effusion lymphoma|ORDO; Orphanet_48686; Primary effusion lymphoma","","GSM634729|GSM1669709",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"932","CRO-AP5","CVCL_1148","CRO-AP/5; CROAP5; AP5","Cancer cell line","NCIt; C6915; Primary effusion lymphoma|ORDO; Orphanet_48686; Primary effusion lymphoma","","GSM634730",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"933","CS-1 [Human chondrosarcoma]","CVCL_T023","Cs-1; CS1; CHSA cell line","Cancer cell line","NCIt; C2946; Chondrosarcoma|ORDO; Orphanet_55880; Chondrosarcoma","","GSM1669710",NA,"Transcriptome analysis by microarray|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"934","CS-4","CVCL_C7TI","UIIA0","Cancer cell line","NCIt; C121871; Chondrosarcoma, grade 3|ORDO; Orphanet_55880; Chondrosarcoma","","GSM383853",NA,"Transcriptome analysis by serial analysis of gene expression (SAGE)"
"935","CS-8","CVCL_C7TM","UIIC0","Cancer cell line","NCIt; C2946; Chondrosarcoma|ORDO; Orphanet_55880; Chondrosarcoma","","GSM383849",NA,"Transcriptome analysis by serial analysis of gene expression (SAGE)"
"936","CS1AN","CVCL_L471","Cockayne Syndrome 1 ANn Arbor; UM106; UM 106; GM00739; GM-739; GM 739; GM739; GM00739A","Finite cell line","NCIt; C135726; Cockayne syndrome type B|ORDO; Orphanet_191; Cockayne syndrome","","GSM3738754|GSM3738755",NA,"Transcriptome analysis by RNAseq"
"937","CS1AN-S3-G2","CVCL_L472","CS1AN.S3.G2; CS1-AN.S3.G2; CS1ANps3g2; GM16095; GM739(SV); GM739SV","Transformed cell line","NCIt; C135726; Cockayne syndrome type B|ORDO; Orphanet_191; Cockayne syndrome","","GSM3048742|GSM3048743|GSM3048744|GSM3048745",NA,"Transcriptome analysis by microarray"
"938","CSCC-1","CVCL_DF76","CSCC1","Cancer cell line","NCIt; C27677; Human papillomavirus-related cervical adenocarcinoma","","GSM226737|GSM226873",NA,"SNP array analysis|CNV analysis"
"939","CSCC-7","CVCL_DF77","CSCC7","Cancer cell line","NCIt; C27677; Human papillomavirus-related cervical adenocarcinoma","","GSM226738|GSM226874",NA,"SNP array analysis|CNV analysis"
